ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE	DESEGMENTED
87	tʰ ə.ɴ ᴬ/⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	ProtoKaren	*thəNᴬ	tʰ ə ɴ ⁵⁵	*thəNᴬ			tʰ ə.ɴ ⁵⁵
624	tʰ ɔ ³³	85	1	Dipterocarpus tuberculatus Roxb	Kayah	thɔ³³	tʰ ɔ ³³	thɔ³³			tʰ ɔ ³³
915	tʰ ə ⁵³	85	1	Dipterocarpus tuberculatus Roxb	Kayan	thə⁵³	tʰ ə ⁵³	thə⁵³			tʰ ə ⁵³
1216	tʰ ə ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	Kayaw	thə⁵⁵	tʰ ə ⁵⁵	thə⁵⁵			tʰ ə ⁵⁵
1519	!t/tʰ ə̤.ŋ ³¹	85	1	Dipterocarpus tuberculatus Roxb	NorthernPao	təŋ³¹̈	tʰ ə̤ ŋ ³¹	təŋ³¹ ̈			tʰ ə̤.ŋ ³¹
1806	tʰ ɑ̃ ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	NorthernPwo	thɑ̃⁵⁵	tʰ ɑ̃ ⁵⁵	thɑ̃⁵⁵			tʰ ɑ̃ ⁵⁵
2092	tʰ ə ³³	85	1	Dipterocarpus tuberculatus Roxb	NorthernSgaw	thə³³	tʰ ə ³³	thə³³			tʰ ə ³³
2965	tʰ ɔ ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	SouthernSgaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵			tʰ ɔ ⁵⁵
1	l o.ʔ/ʔ̚ ᴰ/⁵¹	1	10	all, all gone, whole	ProtoKaren	*loɁᴰ	l o ʔ̚ ⁵¹	*loɁᴰ			l o.ʔ̚ ⁵¹
549	l ɔ ³³	1	10	all, all gone, whole	Kayah	lɔ³³	l ɔ ³³	lɔ³³			l ɔ ³³
847	l ɔ.ʔ ³³	1	10	all, all gone, whole	Kayan	lɔɁ³³	l ɔ ʔ ³³	lɔɁ³³			l ɔ.ʔ ³³
1139	l ə ³³	1	10	all, all gone, whole	Kayaw	lə³³	l ə ³³	lə³³			l ə ³³
1453	l o.ʔ ⁴⁵	1	10	all, all gone, whole	NorthernPao	loɁ⁴⁵	l o ʔ ⁴⁵	loɁ⁴⁵			l o.ʔ ⁴⁵
1732	l au.ʔ ²¹	1	10	all, all gone, whole	NorthernPwo	lauɁ²¹	l au ʔ ²¹	lauɁ²¹			l au.ʔ ²¹
2013	l !ə/u.ʔ ²¹	1	10	all, all gone, whole	NorthernSgaw	ləɁ²¹	l u ʔ ²¹	(khɛ³³)ləɁ²¹			l u.ʔ ²¹
2325	l u.ʔ ⁴⁵	1	10	all, all gone, whole	SouthernPao	luɁ⁴⁵	l u ʔ ⁴⁵	luɁ⁴⁵			l u.ʔ ⁴⁵
2591	l ɔu.ʔ ⁴⁵	1	10	all, all gone, whole	SouthernPwo	lɔuɁ⁴⁵	l ɔu ʔ ⁴⁵	lɔuɁ⁴⁵			l ɔu.ʔ ⁴⁵
2888	l ɔu ¹¹	1	10	all, all gone, whole	SouthernSgaw	lɔu¹¹	l ɔu ¹¹	lɔu¹¹			l ɔu ¹¹
2	d ə.ŋ ᴮ/¹¹	2	21	ant	ProtoKaren	*dəŋᴮ	d ə ŋ ¹¹	*dəŋᴮ			d ə.ŋ ¹¹
550	t ɔ ¹¹	2	21	ant	Kayah	tɔ¹¹	t ɔ ¹¹	tɔ¹¹			t ɔ ¹¹
848	t ə ¹¹	2	21	ant	Kayan	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1140	t ə ¹¹	2	21	ant	Kayaw	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1454	!t/tʰ ə.ŋ ⁵³	2	21	ant	NorthernPao	təŋ⁵³	tʰ ə ŋ ⁵³	təŋ⁵³			tʰ ə.ŋ ⁵³
1733	tʰ ã ɦ.¹¹	2	21	ant	NorthernPwo	thã¹¹̈	tʰ ã ɦ ¹¹	thã¹¹ ̈			tʰ ã ɦ.¹¹
2014	t ə ɦ.¹¹	2	21	ant	NorthernSgaw	tə¹¹̈	t ə ɦ ¹¹	tə¹¹ ̈			t ə ɦ.¹¹
2326	t ə.ŋ ⁵⁵	2	21	ant	SouthernPao	təŋ⁵⁵	t ə ŋ ⁵⁵	təŋ⁵⁵			t ə.ŋ ⁵⁵
2592	tʰ ə̃ɨ̯ ³³	2	21	ant	SouthernPwo	thə̃ɨ̯³³	tʰ ə̃ɨ̯ ³³	thə̃ɨ̯ ³³			tʰ ə̃ɨ̯ ³³
2889	t ə ³¹	2	21	ant	SouthernSgaw	tə³¹	t ə ³¹	tə³¹			t ə ³¹
3188	d o ³³	2	21	ant	WesternBwe	do³³	d o ³³	do³³			d o ³³
3	!t/d ə ᴮ/¹¹	3	33	arrive	ProtoKaren	*təᴮ	d ə ¹¹	*təᴮ		Pattern suggests *d for Proto-Karen	d ə ¹¹
551	t o ¹¹	3	33	arrive	Kayah	to¹¹	t o ¹¹	to¹¹			t o ¹¹
849	t əɨ ¹¹	3	33	arrive	Kayan	təɨ̯_¹¹	t əɨ ¹¹	təɨ̯ ¹¹			t əɨ ¹¹
1141	t ə ¹¹	3	33	arrive	Kayaw	tə¹¹	t ə ¹¹	tə¹¹			t ə ¹¹
1455	!t/tʰ ə ⁵⁵	3	33	arrive	NorthernPao	tə⁵⁵	tʰ ə ⁵⁵	tə⁵⁵			tʰ ə ⁵⁵
1734	tʰ ɔ !³³/³¹	3	33	arrive	NorthernPwo	thɔ³³	tʰ ɔ ³¹	thɔ³³			tʰ ɔ ³¹
2015	t ɨ ³³	3	33	arrive	NorthernSgaw	tɨ³³	t ɨ ³³	tɨ³³			t ɨ ³³
2327	t ə ³³	3	33	arrive	SouthernPao	tə³³	t ə ³³	tə³³			t ə ³³
2593	tʰ o !ɦ³¹/⁵⁵	3	33	arrive	SouthernPwo	tho³¹̈	tʰ o ⁵⁵	tho³¹ ̈			tʰ o ⁵⁵
2890	t ɨ ⁴⁵	3	33	arrive	SouthernSgaw	tɨ⁴⁵’	t ɨ ⁴⁵	tɨ⁴⁵’			t ɨ ⁴⁵
3189	d o ³³	3	33	arrive	WesternBwe	do³³	d o ³³	do³³			d o ³³
4	b.l a ᴮ/¹¹	4	46	arrow, dart	ProtoKaren	*blaᴮ	b l a ¹¹	*blaᴮ	arrow		b.l a ¹¹
552	p.l !a/e ¹¹	4	46	arrow, dart	Kayah	pla¹¹	p l e ¹¹	pla¹¹	arrow		p.l e ¹¹
850	p.l a ¹¹	4	46	arrow, dart	Kayan	pla¹¹	p l a ¹¹	pla¹¹	arrow		p.l a ¹¹
1142	p.l !e/a ¹¹	4	46	arrow, dart	Kayaw	ple¹¹	p l a ¹¹	ple¹¹	arrow		p.l a ¹¹
1456	!p/pʰ.l a !⁵⁵/⁵³	4	46	arrow, dart	NorthernPao	pla⁵⁵	pʰ l a ⁵³	pla⁵⁵	arrow		pʰ.l a ⁵³
1735	!p/pʰ.l a Ø/ɦ.¹¹	4	46	arrow, dart	NorthernPwo	pla¹¹̈	pʰ l a ɦ ¹¹	pla¹¹ ̈	arrow		pʰ.l a ɦ.¹¹
2016	p.l a Ø/ɦ.¹¹	4	46	arrow, dart	NorthernSgaw	pla¹¹̈	p l a ɦ ¹¹	pla¹¹ ̈	arrow		p.l a ɦ.¹¹
2328	p.l a !³³/⁵⁵	4	46	arrow, dart	SouthernPao	pla³³	p l a ⁵⁵	pla³³	arrow		p.l a ⁵⁵
2594	pʰ.l a ³³	4	46	arrow, dart	SouthernPwo	phla³³	pʰ l a ³³	phla³³	arrow		pʰ.l a ³³
2891	p.l a ³¹	4	46	arrow, dart	SouthernSgaw	pla³¹	p l a ³¹	pla³¹	arrow		p.l a ³¹
3190	b.l ɛ ³³	4	46	arrow, dart	WesternBwe	blɛ³³	b l ɛ ³³	blɛ³³	arrow		b.l ɛ ³³
5	tʰ a.ŋ ᴮ/¹¹	5	59	ascend, go up, rise	ProtoKaren	*thaŋᴮ	tʰ a ŋ ¹¹	*thaŋᴮ			tʰ a.ŋ ¹¹
553	tʰ ɛ ¹¹	5	59	ascend, go up, rise	Kayah	thɛ¹¹	tʰ ɛ ¹¹	thɛ¹¹			tʰ ɛ ¹¹
851	tʰ a.ŋ ¹¹	5	59	ascend, go up, rise	Kayan	thaŋ¹¹	tʰ a ŋ ¹¹	thaŋ¹¹			tʰ a.ŋ ¹¹
1143	h ɔ ¹¹	5	60	ascend, go up, rise	Kayaw	hɔ¹¹	h ɔ ¹¹	hɔ¹¹			h ɔ ¹¹
1457	tʰ a.ŋ ⁵⁵	5	59	ascend, go up, rise	NorthernPao	thaŋ⁵⁵	tʰ a ŋ ⁵⁵	thaŋ⁵⁵			tʰ a.ŋ ⁵⁵
1736	tʰ ɛ̃ ³³	5	59	ascend, go up, rise	NorthernPwo	thɛ̃³³	tʰ ɛ̃ ³³	thɛ̃³³			tʰ ɛ̃ ³³
2017	tʰ ɔ̃ ³¹	5	59	ascend, go up, rise	NorthernSgaw	thɔ³¹῀	tʰ ɔ̃ ³¹	thɔ³¹῀			tʰ ɔ̃ ³¹
2329	tʰ a.ŋ ³³	5	59	ascend, go up, rise	SouthernPao	thaŋ³³	tʰ a ŋ ³³	thaŋ³³			tʰ a.ŋ ³³
2595	tʰ ɔ̃ ⁵⁵	5	59	ascend, go up, rise	SouthernPwo	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵	thɔ̃⁵⁵			tʰ ɔ̃ ⁵⁵
